Ticker
DNOW
UAL
MGM
LYFT
AAL
COP
XOM
ROKU
TSLA
BIDU
CVX
UBER
SQ
TWLO
BAC
DIS
MA
FB
CRM
GOOG
V
AAPL
ABBV
AMD
ADBE
MSFT
NVDA
NTES
COST
AMZN
ATVI
LLY
NFLX
